Court,Year,Metric,Value,Unit
Court of Appeal,2018,Filings,76,
Court of Appeal,2018,Disposals,74,
Court of Appeal,2018,ClearanceRate,97,%
Court of Appeal,2018,Pending,28,
Court of Appeal,2018,PDR,0.38,
Court of Appeal,2018,PendingAge,0,%
Court of Appeal,2018,TimelinessCriminal,100,days
Court of Appeal,2018,TimelinessCivil,150,days
Court of Appeal,2018,ReservedJudgments,0,
Supreme Court,2018,Filings,712,
Supreme Court,2018,Disposals,717,
Supreme Court,2018,ClearanceRate,93,%
Supreme Court,2018,Pending,1206,
Supreme Court,2018,PDR,1.7,
Supreme Court,2018,PendingAge,20,%
Supreme Court,2018,TimelinessCriminal,433,days
Supreme Court,2018,TimelinessCivil,640,days
Supreme Court,2018,AttendanceCriminal,4,%
Supreme Court,2018,AttendanceCivil,5.5,%
Supreme Court,2018,AttendanceEnforcement,8,%
Supreme Court,2018,Productivity,100,
Supreme Court,2018,ReservedJudgments,40,
Magistrates Court,2018,Filings,2094,
Magistrates Court,2018,Disposals,2109,
Magistrates Court,2018,ClearanceRate,101,%
Magistrates Court,2018,Pending,880,
Magistrates Court,2018,PDR,0.4,
Magistrates Court,2018,PendingAge,19,%
Magistrates Court,2018,TimelinessCriminal,265,days
Magistrates Court,2018,TimelinessCivil,250,days
Magistrates Court,2018,AttendanceCriminal,3.1,%
Magistrates Court,2018,AttendanceCivil,5.7,%
Magistrates Court,2018,AttendanceEnforcement,9,%
Magistrates Court,2018,Productivity,240,
Magistrates Court,2018,ReservedJudgments,9,
Island Court,2018,Filings,395,
Island Court,2018,Disposals,350,
Island Court,2018,ClearanceRate,88,%
Island Court,2018,Pending,660,
Island Court,2018,PDR,1.9,
Island Court,2018,PendingAge,52,%
Island Court,2018,TimelinessCriminal,300,days
Island Court,2018,TimelinessCivil,400,days
Supreme Court,2018,Gender_Male,65,%
Supreme Court,2018,Gender_Female,35,%
Magistrates Court,2018,Gender_Male,69,%
Magistrates Court,2018,Gender_Female,31,%
Court of Appeal,2018,Civil_Guilty,25,%
Court of Appeal,2018,Civil_NotGuilty,0,%
Court of Appeal,2018,Civil_Withdrawn,15,%
Court of Appeal,2018,Civil_Committed,0,%
Court of Appeal,2018,Civil_Dismissed,60,%
Supreme Court,2018,Criminal_Guilty,84,%
Supreme Court,2018,Criminal_NotGuilty,8,%
Supreme Court,2018,Criminal_Withdrawn,8,%
Supreme Court,2018,Criminal_Committed,0,%
Supreme Court,2018,Criminal_Dismissed,0,%
Magistrates Court,2018,Criminal_Guilty,66,%
Magistrates Court,2018,Criminal_NotGuilty,1,%
Magistrates Court,2018,Criminal_Withdrawn,26,%
Magistrates Court,2018,Criminal_Committed,0,%
Magistrates Court,2018,Criminal_Dismissed,7,%
Magistrates Court,2018,PI_Guilty,0,%
Magistrates Court,2018,PI_NotGuilty,0,%
Magistrates Court,2018,PI_Withdrawn,20,%
Magistrates Court,2018,PI_Committed,76,%
Magistrates Court,2018,PI_Dismissed,4,%
Supreme Court,2018,Workload_Total_Filings,712,
Supreme Court,2018,Workload_Total_Disposals,717,
Supreme Court,2018,Workload_Total_ClearanceRate,93,%
Supreme Court,2018,Workload_Criminal_Filings,245,
Supreme Court,2018,Workload_Criminal_Disposals,262,
Supreme Court,2018,Workload_Criminal_ClearanceRate,99,%
Magistrates Court,2018,Workload_Total_Filings,2094,
Magistrates Court,2018,Workload_Total_Disposals,2109,
Magistrates Court,2018,Workload_Total_ClearanceRate,101,%
